# part, Chassis
# scenario, Step 4: Corner 2-3-5 @ 300.000m
# drop_mode, LTL
# drop_direction, Corner 2-3-5
# drop_height_m, 300.0000
# dims_mm, 1892, 1082, 35
# C1, 946.0, 541.0, 17.4
# C2, 946.0, -541.0, 17.4
# C3, -946.0, -541.0, 17.4
# C4, -946.0, 541.0, 17.4
# C5, 946.0, 541.0, -17.4
# C6, 946.0, -541.0, -17.4
# C7, -946.0, -541.0, -17.4
# C8, -946.0, 541.0, -17.4
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
20,0.243000,-0.944017,0.057880,301.449724,-0.944018,0.023077,301.452317,-0.009477,0.098363,301.993526,-0.009478,0.063559,301.996119,0.009514,-0.063553,299.820093,0.009513,-0.098357,299.822686,0.944053,-0.023070,300.363895,0.944052,-0.057874,300.366488
21,0.245000,-0.944015,0.057878,301.445047,-0.944016,0.023074,301.447639,-0.009474,0.098353,301.988847,-0.009475,0.063550,301.991440,0.009512,-0.063543,299.815413,0.009511,-0.098347,299.818005,0.944053,-0.023068,300.359213,0.944052,-0.057871,300.361805
22,0.247000,-0.944013,0.057875,301.440333,-0.944015,0.023072,301.442925,-0.009471,0.098343,301.984131,-0.009472,0.063539,301.986724,0.009510,-0.063533,299.810695,0.009508,-0.098337,299.813288,0.944052,-0.023065,300.354494,0.944051,-0.057869,300.357086
23,0.249000,-0.944011,0.057873,301.435582,-0.944013,0.023069,301.438174,-0.009468,0.098333,301.979379,-0.009469,0.063529,301.981971,0.009508,-0.063522,299.805941,0.009506,-0.098326,299.808533,0.944051,-0.023063,300.349738,0.944050,-0.057866,300.352330
24,0.251000,-0.944009,0.057871,301.430795,-0.944011,0.023067,301.433386,-0.009464,0.098322,301.974590,-0.009466,0.063519,301.977181,0.009506,-0.063512,299.801151,0.009504,-0.098315,299.803742,0.944051,-0.023060,300.344946,0.944049,-0.057863,300.347537
25,0.253000,-0.944007,0.057868,301.425971,-0.944009,0.023064,301.428562,-0.009461,0.098312,301.969764,-0.009463,0.063508,301.972355,0.009503,-0.063501,299.796323,0.009502,-0.098304,299.798914,0.944050,-0.023057,300.340116,0.944048,-0.057861,300.342708
26,0.255000,-0.944005,0.057865,301.421110,-0.944007,0.023062,301.423701,-0.009457,0.098301,301.964901,-0.009459,0.063497,301.967492,0.009501,-0.063489,299.791459,0.009499,-0.098293,299.794050,0.944049,-0.023054,300.335250,0.944047,-0.057858,300.337841
27,0.257000,-0.944003,0.057863,301.416213,-0.944005,0.023059,301.418803,-0.009454,0.098289,301.960002,-0.009456,0.063486,301.962593,0.009499,-0.063478,299.786558,0.009497,-0.098281,299.789148,0.944048,-0.023051,300.330347,0.944046,-0.057855,300.332938
28,0.259000,-0.944001,0.057860,301.411279,-0.944003,0.023056,301.413869,-0.009450,0.098278,301.955066,-0.009452,0.063474,301.957656,0.009496,-0.063466,299.781620,0.009495,-0.098270,299.784210,0.944047,-0.023048,300.325408,0.944046,-0.057852,300.327998
29,0.261000,-0.943999,0.057857,301.406308,-0.944001,0.023053,301.408898,-0.009446,0.098266,301.950094,-0.009448,0.063462,301.952684,0.009494,-0.063454,299.776646,0.009492,-0.098258,299.779236,0.944047,-0.023045,300.320432,0.944045,-0.057849,300.323021
30,0.263000,-0.943996,0.057854,301.401302,-0.943999,0.023051,301.403891,-0.009442,0.098254,301.945085,-0.009444,0.063450,301.947674,0.009492,-0.063441,299.771635,0.009490,-0.098245,299.774225,0.944046,-0.023042,300.315419,0.944044,-0.057846,300.318008
31,0.265000,-0.943994,0.057852,301.396258,-0.943996,0.023048,301.398847,-0.009438,0.098242,301.940040,-0.009441,0.063438,301.942629,0.009489,-0.063429,299.766588,0.009487,-0.098233,299.769177,0.944045,-0.023038,300.310370,0.944043,-0.057842,300.312958
32,0.267000,-0.943992,0.057849,301.391179,-0.943994,0.023045,301.393767,-0.009434,0.098229,301.934958,-0.009437,0.063425,301.937546,0.009487,-0.063416,299.761504,0.009484,-0.098220,299.764093,0.944044,-0.023035,300.305284,0.944042,-0.057839,300.307872
33,0.269000,-0.943989,0.057846,301.386063,-0.943992,0.023042,301.388651,-0.009430,0.098216,301.929840,-0.009433,0.063412,301.932428,0.009484,-0.063403,299.756384,0.009481,-0.098207,299.758972,0.944043,-0.023032,300.300161,0.944041,-0.057836,300.302749
34,0.271000,-0.943987,0.057842,301.380911,-0.943989,0.023039,301.383498,-0.009426,0.098203,301.924685,-0.009428,0.063399,301.927273,0.009481,-0.063389,299.751228,0.009479,-0.098193,299.753815,0.944042,-0.023028,300.295003,0.944039,-0.057832,300.297590
35,0.273000,-0.943984,0.057839,301.375722,-0.943987,0.023035,301.378309,-0.009421,0.098190,301.919495,-0.009424,0.063386,301.922082,0.009478,-0.063375,299.746035,0.009476,-0.098179,299.748622,0.944041,-0.023025,300.289807,0.944038,-0.057829,300.292394
36,0.275000,-0.943981,0.057836,301.370497,-0.943984,0.023032,301.373084,-0.009417,0.098176,301.914267,-0.009419,0.063372,301.916854,0.009475,-0.063361,299.740806,0.009473,-0.098165,299.743392,0.944040,-0.023021,300.284576,0.944037,-0.057825,300.287162
37,0.277000,-0.943978,0.057833,301.365237,-0.943981,0.023029,301.367823,-0.009412,0.098162,301.909004,-0.009415,0.063358,301.911590,0.009473,-0.063347,299.735540,0.009470,-0.098151,299.738126,0.944039,-0.023018,300.279308,0.944036,-0.057822,300.281894
38,0.279000,-0.943975,0.057830,301.359940,-0.943979,0.023026,301.362525,-0.009407,0.098148,301.903705,-0.009410,0.063344,301.906290,0.009470,-0.063332,299.730238,0.009467,-0.098136,299.732824,0.944038,-0.023014,300.274003,0.944035,-0.057818,300.276589
39,0.281000,-0.943973,0.057826,301.354607,-0.943976,0.023022,301.357192,-0.009402,0.098133,301.898369,-0.009405,0.063329,301.900954,0.009466,-0.063317,299.724900,0.009463,-0.098121,299.727486,0.944037,-0.023010,300.268663,0.944034,-0.057814,300.271248
40,0.283000,-0.943970,0.057823,301.349238,-0.943973,0.023019,301.351822,-0.009397,0.098119,301.892997,-0.009400,0.063314,301.895582,0.009463,-0.063302,299.719526,0.009460,-0.098106,299.722111,0.944036,-0.023006,300.263286,0.944033,-0.057810,300.265871
41,0.285000,-0.943966,0.057820,301.343832,-0.943970,0.023015,301.346417,-0.009392,0.098103,301.887590,-0.009395,0.063299,301.890174,0.009460,-0.063286,299.714116,0.009457,-0.098090,299.716701,0.944035,-0.023002,300.257873,0.944031,-0.057806,300.260458
