# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
21,0.041000,0.114886,-0.133984,0.499052,-0.921475,-0.088829,1.102306,-0.114886,0.014319,2.480266,0.921475,-0.030836,1.877012,0.114886,-0.014319,0.490094,-0.921475,0.030836,1.093348,-0.114886,0.133984,2.471309,0.921475,0.088829,1.868055
22,0.043000,0.114886,-0.133984,0.498221,-0.921475,-0.088829,1.101475,-0.114886,0.014319,2.479436,0.921475,-0.030836,1.876182,0.114886,-0.014319,0.489264,-0.921475,0.030836,1.092518,-0.114886,0.133984,2.470478,0.921475,0.088829,1.867224
23,0.045000,0.114886,-0.133984,0.497352,-0.921475,-0.088829,1.100606,-0.114886,0.014319,2.478567,0.921475,-0.030836,1.875312,0.114886,-0.014318,0.488395,-0.921475,0.030836,1.091649,-0.114886,0.133984,2.469609,0.921475,0.088829,1.866355
24,0.047000,0.114886,-0.133984,0.496444,-0.921475,-0.088829,1.099698,-0.114886,0.014318,2.477659,0.921475,-0.030836,1.874404,0.114886,-0.014318,0.487487,-0.921475,0.030836,1.090741,-0.114886,0.133984,2.468701,0.921475,0.088829,1.865447
25,0.049000,0.114886,-0.133984,0.495497,-0.921475,-0.088829,1.098752,-0.114886,0.014318,2.476712,0.921475,-0.030836,1.873458,0.114886,-0.014318,0.486540,-0.921475,0.030836,1.089794,-0.114886,0.133984,2.467754,0.921475,0.088829,1.864500
26,0.051000,0.114886,-0.133984,0.494512,-0.921475,-0.088829,1.097766,-0.114886,0.014318,2.475727,0.921475,-0.030836,1.872472,0.114886,-0.014318,0.485555,-0.921476,0.030836,1.088809,-0.114886,0.133984,2.466769,0.921475,0.088829,1.863515
27,0.053000,0.114886,-0.133983,0.493488,-0.921475,-0.088829,1.096742,-0.114886,0.014318,2.474703,0.921475,-0.030836,1.871448,0.114886,-0.014318,0.484531,-0.921476,0.030836,1.087785,-0.114886,0.133984,2.465745,0.921475,0.088829,1.862491
28,0.055000,0.114886,-0.133983,0.492426,-0.921475,-0.088829,1.095680,-0.114886,0.014318,2.473640,0.921475,-0.030836,1.870386,0.114886,-0.014318,0.483468,-0.921476,0.030836,1.086723,-0.114886,0.133983,2.464683,0.921475,0.088829,1.861428
29,0.057000,0.114886,-0.133983,0.491325,-0.921475,-0.088829,1.094579,-0.114886,0.014318,2.472539,0.921475,-0.030836,1.869285,0.114886,-0.014318,0.482367,-0.921476,0.030836,1.085622,-0.114886,0.133983,2.463582,0.921475,0.088829,1.860327
30,0.059000,0.114886,-0.133983,0.490185,-0.921475,-0.088829,1.093440,-0.114886,0.014318,2.471400,0.921475,-0.030836,1.868145,0.114886,-0.014318,0.481228,-0.921476,0.030836,1.084482,-0.114886,0.133983,2.462442,0.921475,0.088829,1.859188
31,0.061000,0.114886,-0.133983,0.489007,-0.921475,-0.088829,1.092262,-0.114886,0.014318,2.470222,0.921475,-0.030836,1.866967,0.114886,-0.014318,0.480050,-0.921476,0.030836,1.083304,-0.114886,0.133983,2.461264,0.921475,0.088829,1.858010
32,0.063000,0.114886,-0.133983,0.487791,-0.921475,-0.088829,1.091046,-0.114886,0.014318,2.469006,0.921476,-0.030836,1.865751,0.114886,-0.014318,0.478834,-0.921476,0.030836,1.082088,-0.114886,0.133983,2.460048,0.921475,0.088829,1.856794
33,0.065000,0.114886,-0.133983,0.486536,-0.921476,-0.088829,1.089791,-0.114886,0.014318,2.467751,0.921476,-0.030836,1.864496,0.114886,-0.014318,0.477579,-0.921476,0.030836,1.080834,-0.114886,0.133983,2.458794,0.921475,0.088829,1.855539
34,0.067000,0.114886,-0.133983,0.485243,-0.921476,-0.088829,1.088498,-0.114886,0.014318,2.466458,0.921476,-0.030836,1.863203,0.114886,-0.014317,0.476286,-0.921476,0.030836,1.079541,-0.114886,0.133983,2.457501,0.921475,0.088829,1.854246
35,0.069000,0.114886,-0.133982,0.483912,-0.921476,-0.088829,1.087167,-0.114886,0.014318,2.465127,0.921476,-0.030836,1.861872,0.114885,-0.014317,0.474955,-0.921476,0.030836,1.078210,-0.114886,0.133983,2.456170,0.921475,0.088829,1.852915
36,0.071000,0.114886,-0.133982,0.482543,-0.921476,-0.088829,1.085798,-0.114886,0.014317,2.463758,0.921476,-0.030836,1.860503,0.114885,-0.014317,0.473586,-0.921476,0.030836,1.076841,-0.114886,0.133983,2.454801,0.921475,0.088829,1.851546
37,0.073000,0.114885,-0.133982,0.481136,-0.921476,-0.088829,1.084391,-0.114885,0.014317,2.462351,0.921476,-0.030836,1.859095,0.114885,-0.014317,0.472178,-0.921476,0.030837,1.075434,-0.114886,0.133983,2.453393,0.921475,0.088829,1.850138
38,0.075000,0.114885,-0.133982,0.479690,-0.921476,-0.088829,1.082946,-0.114885,0.014317,2.460905,0.921476,-0.030836,1.857650,0.114885,-0.014317,0.470733,-0.921476,0.030837,1.073988,-0.114886,0.133982,2.451948,0.921475,0.088829,1.848693
39,0.077000,0.114885,-0.133982,0.478207,-0.921476,-0.088829,1.081462,-0.114885,0.014317,2.459422,0.921476,-0.030836,1.856166,0.114885,-0.014316,0.469249,-0.921476,0.030837,1.072505,-0.114885,0.133982,2.450465,0.921475,0.088829,1.847209
40,0.079000,0.114885,-0.133981,0.476685,-0.921476,-0.088829,1.079941,-0.114885,0.014317,2.457900,0.921476,-0.030836,1.854645,0.114885,-0.014316,0.467728,-0.921476,0.030837,1.070984,-0.114885,0.133982,2.448943,0.921476,0.088829,1.845688
41,0.081000,0.114885,-0.133981,0.475126,-0.921476,-0.088829,1.078382,-0.114885,0.014317,2.456341,0.921476,-0.030836,1.853085,0.114885,-0.014316,0.466169,-0.921476,0.030837,1.069425,-0.114885,0.133982,2.447384,0.921476,0.088829,1.844128
42,0.083000,0.114885,-0.133981,0.473529,-0.921476,-0.088829,1.076785,-0.114885,0.014316,2.454744,0.921476,-0.030836,1.851488,0.114884,-0.014316,0.464572,-0.921476,0.030837,1.067828,-0.114885,0.133982,2.445787,0.921476,0.088829,1.842531
43,0.085000,0.114885,-0.133981,0.471893,-0.921476,-0.088829,1.075149,-0.114885,0.014316,2.453109,0.921476,-0.030836,1.849853,0.114884,-0.014315,0.462936,-0.921476,0.030837,1.066192,-0.114885,0.133981,2.444151,0.921475,0.088829,1.840896
44,0.087000,0.114885,-0.133980,0.470219,-0.921476,-0.088829,1.073475,-0.114886,0.014316,2.451435,0.921475,-0.030836,1.848179,0.114884,-0.014315,0.461262,-0.921477,0.030837,1.064518,-0.114886,0.133981,2.442478,0.921475,0.088829,1.839222
45,0.089000,0.114884,-0.133980,0.468507,-0.921477,-0.088829,1.071762,-0.114886,0.014316,2.449722,0.921475,-0.030836,1.846467,0.114884,-0.014315,0.459550,-0.921477,0.030836,1.062805,-0.114887,0.133981,2.440765,0.921474,0.088829,1.837510
46,0.091000,0.114884,-0.133980,0.466756,-0.921477,-0.088829,1.070011,-0.114888,0.014315,2.447972,0.921474,-0.030836,1.844717,0.114884,-0.014315,0.457799,-0.921478,0.030836,1.061054,-0.114888,0.133980,2.439014,0.921473,0.088829,1.835760
47,0.093000,0.114884,-0.133980,0.464967,-0.921478,-0.088829,1.068222,-0.114889,0.014315,2.446182,0.921472,-0.030836,1.842928,0.114883,-0.014315,0.456010,-0.921478,0.030836,1.059265,-0.114890,0.133980,2.437225,0.921472,0.088829,1.833971
48,0.095000,0.114883,-0.133980,0.463140,-0.921479,-0.088830,1.066394,-0.114891,0.014314,2.444355,0.921471,-0.030836,1.841101,0.114883,-0.014315,0.454183,-0.921479,0.030836,1.057437,-0.114892,0.133979,2.435398,0.921471,0.088829,1.832145
49,0.097000,0.114883,-0.133980,0.461275,-0.921480,-0.088830,1.064528,-0.114893,0.014313,2.442490,0.921470,-0.030836,1.839237,0.114882,-0.014314,0.452318,-0.921480,0.030835,1.055571,-0.114893,0.133979,2.433533,0.921469,0.088829,1.830280
50,0.099000,0.114882,-0.133979,0.459371,-0.921481,-0.088830,1.062623,-0.114895,0.014313,2.440586,0.921468,-0.030836,1.837334,0.114882,-0.014314,0.450414,-0.921481,0.030835,1.053667,-0.114895,0.133978,2.431629,0.921468,0.088829,1.828377
51,0.101000,0.114881,-0.133979,0.457430,-0.921482,-0.088830,1.060682,-0.114896,0.014312,2.438644,0.921467,-0.030837,1.835392,0.114881,-0.014314,0.448473,-0.921482,0.030835,1.051725,-0.114897,0.133977,2.429688,0.921466,0.088829,1.826436
52,0.103000,0.114881,-0.133979,0.455450,-0.921483,-0.088831,1.058702,-0.114897,0.014311,2.436665,0.921466,-0.030837,1.833413,0.114880,-0.014314,0.446494,-0.921483,0.030834,1.049745,-0.114898,0.133977,2.427708,0.921465,0.088829,1.824457
53,0.105000,0.114880,-0.133979,0.453433,-0.921483,-0.088831,1.056685,-0.114898,0.014311,2.434648,0.921465,-0.030837,1.831396,0.114879,-0.014313,0.444477,-0.921484,0.030834,1.047728,-0.114899,0.133976,2.425691,0.921465,0.088828,1.822440
54,0.107000,0.114879,-0.133978,0.451379,-0.921484,-0.088831,1.054631,-0.114898,0.014310,2.432594,0.921465,-0.030837,1.829342,0.114879,-0.014313,0.442422,-0.921484,0.030834,1.045674,-0.114899,0.133975,2.423637,0.921464,0.088828,1.820385
55,0.109000,0.114879,-0.133978,0.449287,-0.921484,-0.088832,1.052539,-0.114898,0.014309,2.430502,0.921465,-0.030837,1.827249,0.114878,-0.014313,0.440330,-0.921485,0.030834,1.043583,-0.114899,0.133974,2.421545,0.921464,0.088828,1.818293
56,0.111000,0.114878,-0.133978,0.447157,-0.921485,-0.088832,1.050410,-0.114898,0.014308,2.428373,0.921465,-0.030837,1.825119,0.114877,-0.014312,0.438201,-0.921485,0.030833,1.041454,-0.114898,0.133974,2.419416,0.921464,0.088828,1.816163
57,0.113000,0.114877,-0.133977,0.444990,-0.921485,-0.088832,1.048244,-0.114897,0.014308,2.426206,0.921465,-0.030837,1.822952,0.114877,-0.014312,0.436034,-0.921486,0.030833,1.039288,-0.114898,0.133973,2.417250,0.921464,0.088828,1.813996
58,0.115000,0.114877,-0.133977,0.442786,-0.921485,-0.088833,1.046041,-0.114896,0.014307,2.424002,0.921465,-0.030837,1.820747,0.114876,-0.014311,0.433830,-0.921486,0.030833,1.037085,-0.114897,0.133972,2.415046,0.921465,0.088828,1.811791
59,0.117000,0.114876,-0.133976,0.440545,-0.921485,-0.088833,1.043800,-0.114895,0.014306,2.421761,0.921466,-0.030837,1.818505,0.114875,-0.014311,0.431588,-0.921486,0.030832,1.034844,-0.114896,0.133971,2.412804,0.921465,0.088828,1.809549
60,0.119000,0.114876,-0.133976,0.438266,-0.921485,-0.088833,1.041522,-0.114895,0.014305,2.419482,0.921466,-0.030838,1.816226,0.114875,-0.014310,0.429309,-0.921486,0.030832,1.032566,-0.114896,0.133970,2.410526,0.921465,0.088828,1.807270
61,0.121000,0.114875,-0.133975,0.435949,-0.921485,-0.088834,1.039206,-0.114894,0.014304,2.417166,0.921467,-0.030838,1.813909,0.114874,-0.014310,0.426993,-0.921486,0.030832,1.030250,-0.114895,0.133969,2.408210,0.921466,0.088828,1.804953
62,0.123000,0.114875,-0.133975,0.433596,-0.921486,-0.088834,1.036853,-0.114893,0.014303,2.414813,0.921467,-0.030838,1.811555,0.114874,-0.014309,0.424640,-0.921487,0.030831,1.027897,-0.114894,0.133968,2.405857,0.921466,0.088827,1.802599
63,0.125000,0.114874,-0.133974,0.431205,-0.921486,-0.088834,1.034463,-0.114893,0.014302,2.412422,0.921467,-0.030838,1.809164,0.114873,-0.014309,0.422249,-0.921487,0.030831,1.025507,-0.114894,0.133967,2.403466,0.921466,0.088827,1.800208
64,0.127000,0.114874,-0.133973,0.428777,-0.921486,-0.088835,1.032036,-0.114892,0.014300,2.409994,0.921467,-0.030838,1.806735,0.114872,-0.014308,0.419821,-0.921487,0.030831,1.023080,-0.114893,0.133966,2.401039,0.921466,0.088827,1.797780
65,0.129000,0.114873,-0.133972,0.426312,-0.921486,-0.088835,1.029571,-0.114892,0.014299,2.407530,0.921468,-0.030839,1.804270,0.114872,-0.014307,0.417356,-0.921487,0.030830,1.020616,-0.114893,0.133964,2.398574,0.921466,0.088827,1.795314
66,0.131000,0.114872,-0.133972,0.423810,-0.921487,-0.088835,1.027070,-0.114891,0.014298,2.405028,0.921468,-0.030839,1.801767,0.114871,-0.014306,0.414854,-0.921488,0.030830,1.018115,-0.114892,0.133963,2.396072,0.921466,0.088827,1.792812
67,0.133000,0.114872,-0.133971,0.421271,-0.921487,-0.088836,1.024532,-0.114891,0.014296,2.402489,0.921468,-0.030839,1.799228,0.114870,-0.014305,0.412315,-0.921488,0.030830,1.015576,-0.114892,0.133962,2.393534,0.921467,0.088826,1.790272
