# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
21,0.041000,-0.800001,-0.599999,0.951578,-0.799999,0.600001,0.951578,0.800001,0.599999,0.951578,0.799999,-0.600001,0.951578,-0.800001,-0.599999,0.831578,-0.799999,0.600001,0.831578,0.800001,0.599999,0.831578,0.799999,-0.600001,0.831578
22,0.043000,-0.800001,-0.599999,0.950749,-0.799999,0.600001,0.950749,0.800001,0.599999,0.950749,0.799999,-0.600001,0.950749,-0.800001,-0.599999,0.830749,-0.799999,0.600001,0.830749,0.800001,0.599999,0.830749,0.799999,-0.600001,0.830749
23,0.045000,-0.800001,-0.599999,0.949881,-0.799999,0.600001,0.949882,0.800001,0.599999,0.949882,0.799999,-0.600001,0.949881,-0.800001,-0.599999,0.829881,-0.799999,0.600001,0.829882,0.800001,0.599999,0.829882,0.799999,-0.600001,0.829881
24,0.047000,-0.800001,-0.599999,0.948975,-0.799999,0.600001,0.948976,0.800001,0.599999,0.948976,0.799999,-0.600001,0.948975,-0.800001,-0.599999,0.828975,-0.799999,0.600001,0.828976,0.800001,0.599999,0.828976,0.799999,-0.600001,0.828975
25,0.049000,-0.800001,-0.599999,0.948031,-0.799999,0.600001,0.948032,0.800001,0.599999,0.948032,0.799999,-0.600001,0.948031,-0.800001,-0.599999,0.828031,-0.799999,0.600001,0.828032,0.800001,0.599999,0.828032,0.799999,-0.600001,0.828031
26,0.051000,-0.800001,-0.599999,0.947048,-0.799999,0.600001,0.947049,0.800001,0.599999,0.947049,0.799999,-0.600001,0.947048,-0.800001,-0.599999,0.827048,-0.799999,0.600001,0.827049,0.800001,0.599999,0.827049,0.799999,-0.600001,0.827048
27,0.053000,-0.800001,-0.599999,0.946027,-0.799999,0.600001,0.946028,0.800001,0.599999,0.946028,0.799999,-0.600001,0.946027,-0.800001,-0.599999,0.826027,-0.799999,0.600001,0.826028,0.800001,0.599999,0.826028,0.799999,-0.600001,0.826027
28,0.055000,-0.800001,-0.599999,0.944967,-0.799999,0.600001,0.944969,0.800001,0.599999,0.944969,0.799999,-0.600001,0.944967,-0.800001,-0.599999,0.824967,-0.799999,0.600001,0.824969,0.800001,0.599999,0.824969,0.799999,-0.600001,0.824967
29,0.057000,-0.800001,-0.599999,0.943870,-0.799999,0.600001,0.943871,0.800001,0.599999,0.943871,0.799999,-0.600001,0.943870,-0.800001,-0.599999,0.823870,-0.799999,0.600001,0.823871,0.800001,0.599999,0.823871,0.799999,-0.600001,0.823870
30,0.059000,-0.800001,-0.599999,0.942734,-0.799999,0.600001,0.942736,0.800001,0.599999,0.942736,0.799999,-0.600001,0.942734,-0.800001,-0.599999,0.822734,-0.799999,0.600001,0.822736,0.800001,0.599999,0.822736,0.799999,-0.600001,0.822734
31,0.061000,-0.800001,-0.599999,0.941560,-0.799999,0.600001,0.941562,0.800001,0.599999,0.941562,0.799999,-0.600001,0.941560,-0.800001,-0.599998,0.821560,-0.799999,0.600002,0.821562,0.800001,0.599999,0.821562,0.799999,-0.600001,0.821560
32,0.063000,-0.800001,-0.599999,0.940348,-0.799999,0.600001,0.940351,0.800001,0.599998,0.940351,0.799999,-0.600002,0.940348,-0.800001,-0.599998,0.820348,-0.799999,0.600002,0.820351,0.800001,0.599999,0.820351,0.799999,-0.600001,0.820348
33,0.065000,-0.800001,-0.599999,0.939099,-0.799999,0.600001,0.939100,0.800001,0.599999,0.939100,0.799999,-0.600001,0.939099,-0.800001,-0.599999,0.819099,-0.799999,0.600001,0.819100,0.800001,0.599999,0.819100,0.799999,-0.600001,0.819099
34,0.067000,-0.800001,-0.599999,0.937808,-0.799999,0.600001,0.937810,0.800001,0.599999,0.937810,0.799999,-0.600001,0.937809,-0.800001,-0.599999,0.817808,-0.799999,0.600001,0.817810,0.800001,0.599999,0.817810,0.799999,-0.600001,0.817809
35,0.069000,-0.800001,-0.599999,0.936480,-0.799999,0.600001,0.936482,0.800001,0.599999,0.936482,0.799999,-0.600001,0.936480,-0.800001,-0.599998,0.816480,-0.799999,0.600002,0.816482,0.800001,0.599999,0.816482,0.799999,-0.600001,0.816480
