# chassis, 1600, 1200, 120
# start time, 1.2
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
21,0.041000,0.921444,-0.088763,1.102201,-0.114972,-0.133910,0.499038,-0.921438,-0.030903,1.877081,0.114977,0.014244,2.480243,0.921438,0.030903,1.093253,-0.114977,-0.014244,0.490090,-0.921444,0.088763,1.868133,0.114972,0.133910,2.471295
22,0.043000,0.921443,-0.088763,1.101367,-0.114972,-0.133910,0.498205,-0.921438,-0.030903,1.876247,0.114977,0.014244,2.479410,0.921438,0.030903,1.092420,-0.114977,-0.014244,0.489257,-0.921443,0.088763,1.867300,0.114972,0.133910,2.470462
23,0.045000,0.921443,-0.088763,1.100495,-0.114972,-0.133910,0.497332,-0.921438,-0.030903,1.875375,0.114977,0.014244,2.478538,0.921438,0.030903,1.091547,-0.114977,-0.014244,0.488385,-0.921443,0.088763,1.866427,0.114972,0.133910,2.469590
24,0.047000,0.921443,-0.088763,1.099584,-0.114972,-0.133910,0.496421,-0.921438,-0.030903,1.874464,0.114977,0.014244,2.477626,0.921438,0.030903,1.090636,-0.114977,-0.014244,0.487473,-0.921443,0.088763,1.865516,0.114972,0.133910,2.468678
25,0.049000,0.921443,-0.088763,1.098633,-0.114972,-0.133910,0.495470,-0.921438,-0.030903,1.873513,0.114977,0.014244,2.476675,0.921438,0.030903,1.089685,-0.114977,-0.014244,0.486522,-0.921443,0.088763,1.864565,0.114972,0.133910,2.467728
26,0.051000,0.921443,-0.088763,1.097643,-0.114972,-0.133910,0.494480,-0.921438,-0.030903,1.872523,0.114977,0.014244,2.475686,0.921438,0.030903,1.088695,-0.114977,-0.014244,0.485533,-0.921443,0.088763,1.863575,0.114972,0.133909,2.466738
27,0.053000,0.921443,-0.088763,1.096614,-0.114972,-0.133909,0.493451,-0.921438,-0.030903,1.871494,0.114977,0.014243,2.474657,0.921438,0.030903,1.087666,-0.114977,-0.014244,0.484504,-0.921443,0.088763,1.862546,0.114972,0.133909,2.465709
28,0.055000,0.921443,-0.088763,1.095546,-0.114972,-0.133909,0.492383,-0.921438,-0.030903,1.870426,0.114977,0.014243,2.473589,0.921438,0.030903,1.086598,-0.114977,-0.014243,0.483436,-0.921443,0.088763,1.861478,0.114972,0.133909,2.464641
29,0.057000,0.921443,-0.088763,1.094439,-0.114972,-0.133909,0.491276,-0.921438,-0.030903,1.869319,0.114977,0.014243,2.472482,0.921438,0.030903,1.085491,-0.114977,-0.014243,0.482328,-0.921443,0.088763,1.860371,0.114972,0.133909,2.463534
30,0.059000,0.921443,-0.088763,1.093292,-0.114972,-0.133909,0.490130,-0.921438,-0.030903,1.868173,0.114977,0.014243,2.471335,0.921438,0.030903,1.084345,-0.114977,-0.014243,0.481182,-0.921443,0.088763,1.859225,0.114972,0.133909,2.462387
31,0.061000,0.921443,-0.088763,1.092107,-0.114972,-0.133909,0.488945,-0.921438,-0.030903,1.866987,0.114977,0.014243,2.470150,0.921438,0.030903,1.083159,-0.114977,-0.014243,0.479997,-0.921443,0.088763,1.858040,0.114972,0.133909,2.461202
32,0.063000,0.921443,-0.088763,1.090883,-0.114972,-0.133909,0.487720,-0.921438,-0.030903,1.865763,0.114977,0.014243,2.468925,0.921438,0.030903,1.081935,-0.114977,-0.014243,0.478772,-0.921443,0.088763,1.856815,0.114972,0.133909,2.459978
33,0.065000,0.921443,-0.088763,1.089619,-0.114972,-0.133909,0.486457,-0.921438,-0.030903,1.864500,0.114977,0.014243,2.467662,0.921438,0.030903,1.080671,-0.114977,-0.014243,0.477509,-0.921443,0.088763,1.855552,0.114972,0.133909,2.458714
34,0.067000,0.921443,-0.088763,1.088316,-0.114972,-0.133909,0.485154,-0.921438,-0.030903,1.863197,0.114977,0.014243,2.466359,0.921438,0.030903,1.079369,-0.114977,-0.014243,0.476206,-0.921443,0.088763,1.854249,0.114972,0.133909,2.457412
35,0.069000,0.921443,-0.088763,1.086975,-0.114972,-0.133909,0.483812,-0.921438,-0.030903,1.861855,0.114977,0.014242,2.465018,0.921438,0.030903,1.078027,-0.114977,-0.014243,0.474865,-0.921443,0.088763,1.852908,0.114972,0.133908,2.456070
36,0.071000,0.921443,-0.088763,1.085594,-0.114972,-0.133908,0.482432,-0.921438,-0.030903,1.860475,0.114977,0.014242,2.463637,0.921438,0.030903,1.076646,-0.114977,-0.014242,0.473484,-0.921443,0.088763,1.851527,0.114972,0.133908,2.454689
37,0.073000,0.921443,-0.088763,1.084174,-0.114972,-0.133908,0.481012,-0.921438,-0.030903,1.859055,0.114977,0.014242,2.462217,0.921438,0.030903,1.075227,-0.114977,-0.014242,0.472064,-0.921443,0.088763,1.850107,0.114972,0.133908,2.453270
38,0.075000,0.921443,-0.088763,1.082716,-0.114972,-0.133908,0.479553,-0.921438,-0.030903,1.857597,0.114977,0.014242,2.460759,0.921438,0.030903,1.073768,-0.114977,-0.014242,0.470606,-0.921443,0.088763,1.848649,0.114972,0.133908,2.451811
39,0.077000,0.921443,-0.088763,1.081218,-0.114972,-0.133908,0.478056,-0.921438,-0.030903,1.856099,0.114978,0.014242,2.459261,0.921438,0.030903,1.072270,-0.114978,-0.014242,0.469108,-0.921443,0.088763,1.847151,0.114972,0.133907,2.450313
40,0.079000,0.921443,-0.088763,1.079681,-0.114972,-0.133907,0.476519,-0.921438,-0.030903,1.854562,0.114978,0.014241,2.457724,0.921438,0.030903,1.070733,-0.114978,-0.014242,0.467571,-0.921443,0.088763,1.845615,0.114972,0.133907,2.448777
41,0.081000,0.921443,-0.088763,1.078105,-0.114973,-0.133907,0.474943,-0.921438,-0.030903,1.852987,0.114978,0.014241,2.456149,0.921438,0.030903,1.069158,-0.114978,-0.014241,0.465996,-0.921443,0.088763,1.844039,0.114973,0.133907,2.447201
