Frame,Time,C5_pos_X,C6_pos_X,C7_pos_X,C8_pos_X,C5_pos_Y,C6_pos_Y,C7_pos_Y,C8_pos_Y,C5_pos_Z,C6_pos_Z,C7_pos_Z,C8_pos_Z
42,0.099600,1.036365,-0.000056,-0.000063,1.036357,-0.132360,-0.177502,0.000002,0.045145,0.868816,0.265661,0.252389,0.855544
43,0.102000,1.036365,-0.000056,-0.000063,1.036357,-0.132360,-0.177502,0.000003,0.045144,0.866495,0.263342,0.250070,0.853223
44,0.104400,1.036366,-0.000056,-0.000063,1.036358,-0.132360,-0.177502,0.000003,0.045144,0.864120,0.260968,0.247696,0.850849
45,0.106800,1.036366,-0.000055,-0.000063,1.036359,-0.132360,-0.177501,0.000003,0.045144,0.861692,0.258540,0.245268,0.848420
46,0.109200,1.036366,-0.000055,-0.000063,1.036359,-0.132360,-0.177501,0.000004,0.045144,0.859211,0.256058,0.242787,0.845939
47,0.111600,1.036367,-0.000055,-0.000063,1.036359,-0.132360,-0.177500,0.000004,0.045144,0.856676,0.253524,0.240252,0.843404
48,0.114000,1.036366,-0.000055,-0.000063,1.036359,-0.132361,-0.177500,0.000005,0.045144,0.854088,0.250936,0.237664,0.840816
49,0.116400,1.036366,-0.000056,-0.000063,1.036359,-0.132361,-0.177499,0.000005,0.045144,0.851447,0.248295,0.235023,0.838175
50,0.118800,1.036366,-0.000056,-0.000063,1.036359,-0.132360,-0.177499,0.000006,0.045144,0.848753,0.245600,0.232329,0.835481
51,0.121200,1.036366,-0.000056,-0.000063,1.036358,-0.132360,-0.177498,0.000007,0.045144,0.846005,0.242853,0.229582,0.832734
52,0.123600,1.036365,-0.000056,-0.000064,1.036358,-0.132360,-0.177497,0.000008,0.045144,0.843205,0.240053,0.226781,0.829934
53,0.126000,1.036365,-0.000057,-0.000064,1.036358,-0.132360,-0.177496,0.000008,0.045144,0.840351,0.237199,0.223928,0.827080
54,0.128400,1.036365,-0.000057,-0.000064,1.036358,-0.132360,-0.177495,0.000009,0.045145,0.837445,0.234293,0.221022,0.824174
55,0.130800,1.036365,-0.000057,-0.000064,1.036358,-0.132360,-0.177494,0.000010,0.045145,0.834485,0.231333,0.218063,0.821215
56,0.133200,1.036365,-0.000057,-0.000064,1.036358,-0.132360,-0.177493,0.000011,0.045145,0.831473,0.228322,0.215051,0.818203
57,0.135600,1.036365,-0.000058,-0.000064,1.036358,-0.132360,-0.177492,0.000012,0.045145,0.828409,0.225257,0.211987,0.815138
58,0.138000,1.036365,-0.000058,-0.000065,1.036358,-0.132360,-0.177491,0.000013,0.045145,0.825292,0.222140,0.208870,0.812021
59,0.140400,1.036365,-0.000058,-0.000065,1.036358,-0.132360,-0.177490,0.000014,0.045145,0.822122,0.218971,0.205701,0.808852
60,0.142800,1.036365,-0.000059,-0.000065,1.036358,-0.132360,-0.177489,0.000015,0.045145,0.818900,0.215750,0.202480,0.805630
61,0.145200,1.036364,-0.000059,-0.000066,1.036358,-0.132360,-0.177488,0.000016,0.045145,0.815626,0.212476,0.199206,0.802356
62,0.147600,1.036364,-0.000060,-0.000067,1.036357,-0.132360,-0.177487,0.000018,0.045145,0.812299,0.209151,0.195881,0.799030
63,0.150000,1.036364,-0.000061,-0.000068,1.036357,-0.132359,-0.177486,0.000019,0.045145,0.808921,0.205773,0.192504,0.795652
64,0.152400,1.036363,-0.000062,-0.000068,1.036357,-0.132359,-0.177484,0.000020,0.045145,0.805491,0.202344,0.189075,0.792222
65,0.154800,1.036363,-0.000063,-0.000069,1.036357,-0.132359,-0.177483,0.000022,0.045146,0.802009,0.198863,0.185594,0.788740
66,0.157200,1.036363,-0.000063,-0.000070,1.036357,-0.132359,-0.177482,0.000023,0.045146,0.798476,0.195330,0.182061,0.785207
