
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

     17   0.2853642E-15   0.2012226E-12   0.7157049E-16   0.3927239E-07   0.6025700E-09   0.1226833E-06
     18   0.1442283E-11   0.1162693E-10   0.2085438E-15   0.9622325E-04   0.3670185E-04   0.9108571E-07
     19   0.2633335E-11   0.6332218E-11   0.6164557E-16   0.2159571E-03   0.1897732E-04   0.5346834E-07
     20   0.7434306E-14   0.1321042E-12   0.1602458E-16   0.1490656E-08   0.1678292E-06   0.2023573E-08
TOTAL     0.1104218E+00   0.1104218E+00   0.1104218E+00   0.5743423E+05   0.1243416E+06   0.1817333E+06

     T O T A L   E F F E C T I V E   M A S S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1104764E+00   0.1104460E+00   0.1104395E+00   0.5743774E+05   0.1243451E+06   0.1817400E+06


     F R A C T I O N   O F   T O T A L S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.9995057E+00   0.9997810E+00   0.9998396E+00   0.9999389E+00   0.9999716E+00   0.9999627E+00

