
                        S T E P       1


      E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                            (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      17   6.8317905E-23   1.8525420E-24   1.0286753E-23   1.3104248E-17   1.1397330E-19   4.7024446E-20
      18   6.1362546E-23   9.1785821E-25   2.3410847E-24   1.1382948E-17   3.8523302E-20   1.4801407E-18
      19   3.1748472E-23   6.6747456E-25   1.8435708E-24   5.2676870E-18   2.4100220E-21   3.2041087E-19
      20   1.3577012E-23   9.0122096E-26   5.1404280E-24   2.9295932E-18   2.4221930E-21   6.2353378E-18
 TOTAL      1.2282865E-02   1.2282865E-02   1.2282865E-02   1.7475254E+03   3.8858859E+03   5.6284782E+03

      T O T A L   E F F E C T I V E   M A S S

            X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

            1.2282865E-02   1.2282865E-02   1.2282865E-02   1.7475251E+03   3.8858855E+03   5.6284778E+03


      F R A C T I O N   O F   T O T A L S

            X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

            1.0000000E+00   1.0000000E+00   1.0000000E+00   1.0000002E+00   1.0000001E+00   1.0000001E+00

